scientific_name,genome_name
Clostridium formicaceticum,cfm
Plantactinospora sp.,plat
Rickettsia typhi,rtt
Bacteroides thetaiotaomicron,btho
Leeuwenhoekiella palythoae,lpal
Streptomyces platensis,spla
Thermotoga maritima,tmi
Proteus mirabilis,pmib
Yersinia aleksiciae,yak
Shewanella carassii,scaa
Pontivivens ytuae,poz
Klebsiella pneumoniae,kpt
Paenibacillus sabinae,psab
Coprococcus comes,ccom
Bifidobacterium breve,bbre
Chlamydia trachomatis,ctrc
Paenisporosarcina cavernae,paek
Shewanella avicenniae,savi
Bergeyella cardium,bcad
Streptococcus pneumoniae,spx
Mycoplasma mycoides,mmym
Thermotoga petrophila,tpt
Nocardia gipuzkoensis,ngp
Campylobacter jejuni,cjm
Photorhabdus akhurstii,pakh
Chlamydophila pneumoniae,cpn
Niabella soli,nso
Granulosicoccus antarcticus,gai
Chlamydia psittaci,cht
Anaeromyxobacter sp.,ank
Staphylococcus condimenti,scv
Corynebacterium renale,crl
Bordetella bronchiseptica,bbr
Mycolicibacterium hassiacum,mhas
Campylobacter jejuni,cjb
Campylobacter coli,ccol
Burkholderiales bacterium,bbag
Frederiksenia canicola,fcl
Prochlorococcus marinus,pmj
Listeria ivanovii,lia
Micrococcus sp.,mick
Streptococcus pyogenes,soz
Anaplasma marginale,amf
Streptococcus thermophilus,stw
Clostridium difficile,cdl
Litorilituus sediminis,lsd
Pseudomonas aeruginosa,paf
Morganella morganii,mmk
Agrococcus sp.,agg
Neisseria animalis,naq
Rickettsia akari,rak
Bacillus lehensis,ble
Microcella alkaliphila,malk
Streptomyces cyaneogriseus,scw
Ferrovibrio terrae,fer
Mycoplasma yeatsii,myt
Thermocrinis albus,tal
Shigella flexneri,sfn
Moorella thermoacetica,mta
Plesiomonas shigelloides,pshi
Mycoplasmopsis pullorum,mpul
Streptococcus suis,ssut
Diaphorobacter aerolatus,daer
Paenibacillus algicola,palo
Mannheimia haemolytica,mht
Anoxybacillus sp.,anm
Williamsoniiplasma luminosum,elj
Wolbachia endosymbiont,wen
Pseudomonas yamanorum,pym
Paenibacillus baekrokdamisoli,pbk
Polaribacter sp.,poa
Isoptericola dokdonensis,ido
Lactobacillus rhamnosus,lrg
Wolbachia endosymbiont,wep
Candidatus Planktophila,pvs
Endosymbiont of,ebh
Flavobacterium crocinum,fcr
Chlamydia trachomatis,ctk
Wolbachia endosymbiont,wem
Mycoplasma haemocanis,mhe
Ehrlichia chaffeensis,echj
Candidatus Pelagibacter,pub
Corynebacterium testudinoris,cted
Bordetella pertussis,bpe
Mixta gaviniae,pgz
Corynebacterium uterequi,cut
Thermodesulfobium acidiphilum,taci
Clavibacter michiganensis,cmc
Dyadobacter sandarakinus,dsn
Mesoplasma tabanidae,mtab
Lactobacillus casei,lcx
Shewanella pealeana,spl
Acholeplasma laidlawii,acl
Campylobacter jejuni,cjr
Salinispira pacifica,slr
Caminibacter mediatlanticus,cmed
Pandoraea sputorum,pspu
Hydrogenobacter thermophilus,hth
Plantibacter sp.,plap
Treponema pallidum,tph
Thalassotalea sp.,thap
Bifidobacterium adolescentis,badl
Staphylococcus xylosus,sxo
Geobacter sp.,gem
Candidatus Kinetoplastibacterium,kde
Parvibaculum lavamentivorans,pla
Aeromonas hydrophila,ahi
Arthrobacter jiangjiafuii,ajg
Flavisolibacter ginsenosidimutans,fgg
[Haemophilus] ducreyi,hdu
Candidatus Izimaplasma,mbj
Mycoplasma gallinaceum,mgb
Pseudomonas aeruginosa,paeb
Bacillus subtilis,bsr
Lactococcus lactis,llj
Francisella tularensis,ftx
Anaerostipes rhamnosivorans,arf
Lelliottia jeotgali,lef
Pseudomonas khazarica,pkh
Mycobacterium canettii,mce
Bifidobacterium breve,bbrc
Paenibacillus sp.,paea
Chryseolinea soli,chk
Chromobacterium rhizoryzae,crz
Dickeya dadantii,ddd
Micromonospora aurantiaca,mau
Oleispira antarctica,oai
Chryseobacterium jeonii,cjg
Berkelbacteria bacterium,bbgw
Lachnospiraceae bacterium,lbw
Corynebacterium diphtheriae,cds
Wolbachia endosymbiont,wea
Candidatus Carsonella,crc
Leptospirillum sp.,leg
Glutamicibacter creatinolyticus,gcr
Streptomyces nojiriensis,snf
Listeria monocytogenes,lmog
Saccharibacillus brassicae,saca
Roseibacterium elongatum,red
Pusillimonas thiosulfatoxidans,pus
Clostridium pasteurianum,cpat
Raoultella ornithinolytica,ron
Syntrophotalea acetylenivorans,pef
Halothece sp.,hao
Escherichia coli,ecc
Thalassotalea sp.,tht
Sphingomonas sabuli,ssau
Clostridium perfringens,cpf
Candidatus Nitrospira,nde
Bifidobacterium bifidum,bbi
Streptococcus suis,ssq
Prochlorococcus sp.,prm
Chlamydia psittaci,chi
Mucilaginibacter xinganensis,muc
Desulfitobacterium hafniense,dsy
Bacillus intestinalis,bit
Solibaculum mannosilyticum,sman
Treponema sp.,trm
Lactobacillus ruminis,lrm
Bifidobacterium longum,blg
Alistipes dispar,ada
Nocardioides seonyuensis,nsn
Prochlorococcus marinus,pmt
Dehalococcoides mccartyi,det
Streptococcus pneumoniae,spng
Kangiella geojedonensis,kge
Brenneria goodwinii,bgj
Ligilactobacillus murinus,lmur
Vibrio cholerae,vcz
Salmonella enterica,sega
Haemophilus influenzae,hie
Hyphomicrobium nitrativorans,hni
Ancylobacter sp.,anc
Polaribacter sp.,pola
Limosilactobacillus pontis,lpon
Mycoplasma gallisepticum,mgh
Candidatus Phytoplasma,pml
Streptococcus pyogenes,spf
Entomoplasma melaleucae,eml
Bacillus subtilis,bst
Bartonella ancashensis,banc
Halomonas campaniensis,hcs
Bacillus coagulans,bcoa
Thermoanaerobacter wiegelii,twi
Myxococcus stipitatus,msd
Corynebacterium glutamicum,cgl
Pseudomonas aeruginosa,paeu
Candidatus Mycoplasma,mhl
Chromatiaceae bacterium,ntg
Bradyrhizobium ottawaense,bot
Kocuria rosea,krs
Kosmotoga pacifica,kpf
Amycolatopsis methanolica,amq
Actinobacillus suis,asi
Hymenobacter nivis,hnv
Acinetobacter lactucae,alc
Clostridium saccharobutylicum,csb
Alteromonas macleodii,amac
Lactobacillus acidophilus,lad
Mycobacterium tuberculosis,mtk
Zobellella denitrificans,zdf
Bacillus subtilis,bsh
Sphingopyxis sp.,sphq
Muricauda oceani,mut
Commensalibacter sp.,comm
Pseudorhodoplanes sinuspersici,psin
Streptococcus iniae,siq
Pasteurella multocida,pmu
Campylobacter lari,clr
Anaplasma marginale,ama
Gelria sp.,gek
Lysobacter oculi,lue
Roseiflexus castenholzii,rca
Paenibacillus sp.,paeh
Treponema ruminis,tri
Desulfococcus multivorans,dml
Rhodothermaceae bacterium,rbar
Janibacter indicus,jte
Bacillus amyloliquefaciens,bao
Streptomyces albus,sals
Strawberry lethal,nzs
MAG: Candidatus,jet
Mycobacterium haemophilum,mhad
Tenacibaculum dicentrarchi,tdi
Ketobacter alkanivorans,kak
Tissierella sp.,spoa
Lysobacter enzymogenes,lez
Brevilactibacter sp.,brt
Bordetella bronchiseptica,bbh
Basfia succiniciproducens,bsun
Malaciobacter canalis,acaa
Sphingomonas sinipercae,ssin
Olleya sp.,oll
Dissulfurispira thermophila,dtp
Serratia marcescens,smac
Thermanaerovibrio acidaminovorans,tai
Methylotenera mobilis,mmb
Enterococcus lactis,elac
Pandoraea fibrosis,pfib
Bdellovibrio bacteriovorus,bbw
Streptococcus sp.,stra
Cronobacter muytjensii,cmw
Thermosynechococcus vulcanus,tvn
Legionella pneumophila,lpn
Staphylococcus chromogenes,schr
Actinoplanes sp.,actn
Pseudomonas sp.,psec
Paenibacillus donghaensis,pdh
Streptococcus anginosus,sanc
Candidate division,srg
Kushneria konosiri,kus
Acetomicrobium mobile,amo
Caldicellulosiruptor kronotskyensis,ckn
Desulfovibrio piger,dpg
Pectobacterium carotovorum,pcc
Corynebacterium cyclohexanicum,ccyc
Mycolicibacterium aichiense,maic
Rhodococcus equi,req
Thiothrix litoralis,tlo
Oricola thermophila,orm
Elizabethkingia miricola,elb
Rhodococcus triatomae,rtm
Halomonas alkaliphila,halk
Streptomyces calvus,sast
Mycoplasma fermentans,mfm
Marinobacterium georgiense,mgeo
Fusobacterium gonidiaformans,fgo
Rickettsia prowazekii,rpq
Salmonella enterica,sek
Bordetella genomosp.,bgm
Pseudomonas silesiensis,psil
Mycobacterium rhodesiae,mrh
Coraliomargarita akajimensis,caa
Flavobacterium sangjuense,fsn
Kribbella qitaiheensis,kqi
Azospirillum humicireducens,ahu
Chlamydia trachomatis,ctfs
Mycoplasmopsis anatis,mani
Streptococcus pyogenes,spb
Flavobacterium psychrophilum,fpy
Desulfotomaculum reducens,drm
Effusibacillus sp.,eff
Brachybacterium ginsengisoli,bgg
Cellulosilyticum sp.,cew
Nonlabens sp.,nom
Neisseria meningitidis,nmn
Streptomyces cavourensis,scav
Bacillus megaterium,bmd
Bacteroides heparinolyticus,bhf
Streptomyces cyaneochromogenes,scya
Chlamydia trachomatis,ctcf
Kushneria phosphatilytica,kuy
Intestinimonas butyriciproducens,ibu
Myroides odoratus,moa
Tenacibaculum jejuense,tje
Klebsiella variicola,kvq
Pectobacterium punjabense,ppuj
Lacinutrix venerupis,lvn
Salmonella enterica,ses
Methylobacterium terrae,mtea
Halomonas chromatireducens,hco
Comamonas kerstersii,cke
Chryseobacterium bernardetii,cben
Pseudomonas aeruginosa,paec
Staphylococcus schweitzeri,ssh
Desulfosporosinus orientis,dor
Mesorhizobium opportunistum,mop
Escherichia coli,ecr
Geobacillus sp.,gej
Staphylococcus aureus,saw
Paenibacillus beijingensis,pbj
Leptothrix cholodnii,lch
Bacillus subtilis,bsy
Megamonas hypermegale,mhg
Microcystis viridis,mvz
Amycolatopsis mediterranei,amz
Streptomyces spectabilis,sspb
Arachidicoccus ginsenosidivorans,agi
Brenneria rubrifaciens,brb
Clostridium sticklandii,cst
Georhizobium profundi,abaw
Brevundimonas vesicularis,bvc
Bacteroides nordii,bno
Deinococcus irradiatisoli,dez
Mycoplasma gallisepticum,mgw
MAG: Candidatus,this
Pseudomonas fulva,pfv
Siansivirga zeaxanthinifaciens,sze
Laceyella sacchari,lfb
Streptomyces griseochromogenes,sgs
Raineyella fluvialis,rain
Hydrogenobacter thermophilus,hte
Synechocystis sp.,syy
Xanthomonas campestris,xcp
Luteimonas yindakuii,lus
Ktedonosporobacter rubrisoli,kbs
Mesorhizobium erdmanii,merd
Sanguibacter sp.,sanw
Bombella sp.,bob
Marinobacter similis,msx
Hydrogenophaga sp.,hyb
Pseudomonas bijieensis,pbz
Aggregatibacter actinomycetemcomitans,aacn
Ehrlichia chaffeensis,echa
Mycobacterium smegmatis,msn
Pasteurella skyensis,psky
Bordetella pertussis,bper
Bacillus subtilis,bsq
Treponema pallidum,tpu
Gemmatimonas groenlandica,ggr
Alcanivorax pacificus,apac
Bordetella bronchialis,bbro
Stenotrophomonas maltophilia,buj
Lactobacillus zymae,lzy
Belliella baltica,bbd
Corynebacterium glucuronolyticum,cglu
Shewanella sp.,shw
MAG: Candidatus,wba
Blautia argi,blau
Alpha proteobacterium,apm
Flavobacterium anhuiense,fjg
Polaribacter litorisediminis,plit
Francisella tularensis,fth
Actinobaculum sp.,actt
Mycoplasma synoviae,msy
Staphylococcus pasteuri,spas
Diaphorobacter nitroreducens,dpy
Xanthomonas oryzae,xor
Shewanella psychropiezotolerans,spsh
Pediococcus acidilactici,paci
Myxococcus hansupus,mym
Pseudomonas psychrophila,ppsh
Stenotrophomonas indicatrix,sinc
Corynebacterium glutamicum,cgu
Campylobacter blaseri,cbla
Anaplasma phagocytophilum,apd
Haemophilus influenzae,hil
Gluconobacter frateurii,gfa
Mycobacteroides immunogenum,miz
Yersinia pseudotuberculosis,ypy
Rickettsia rickettsii,rrj
Enterobacter cloacae,enl
Lactobacillus sakei,lsa
Limnospira fusiformis,lfs
Psychrobacter sp.,psyc
Streptococcus pneumoniae,snp
Legionella pneumophila,lph
Mycoplasma bovis,mbv
Salmonella enterica,seno
Streptococcus dysgalactiae,sdg
Streptomyces griseorubiginosus,sge
Pseudomonas aeruginosa,pae
Thermoanaerobacter brockii,tbo
Dehalococcoides sp.,duc
Mycoplasma gallisepticum,mgnc
Clostridium botulinum,cbt
Candidatus Tachikawaea,sbw
Desulfolutivibrio sulfoxidireducens,dsx
Shewanella marisflavi,smav
Pseudomonas syringae,psb
Peptoclostridium difficile,pdf
Methylocystis sp.,msc
Bradyrhizobium daqingense,bdg
Ethanoligenens harbinense,eha
Chlamydia trachomatis,ctch
Mycoplasma genitalium,mgu
Mycoplasma crocodyli,mcd
Escherichia coli,ect
Streptococcus agalactiae,sagp
Beggiatoa leptomitoformis,blep
Mycoplasma pneumoniae,mpm
Brevundimonas sp.,brl
Clostridium sp.,clos
Bacillus subtilis,bsp
Sulfuriferula plumbiphila,splb
Rickettsia bellii,rbo
Candidatus Sulcia,smh
Peptostreptococcaceae bacterium,pbq
Streptococcus agalactiae,sag
Methylophaga nitratireducenticrescens,mej
Aeribacillus pallidus,apak
Tamlana carrageenivorans,taj
Candidatus Sulfurimonas,sbal
Marinobacter sp.,mara
Streptococcus agalactiae,sak
Heyndrickxia vini,bvj
Streptococcus iniae,sio
Wolbachia endosymbiont,wef
Francisella adeliensis,fad
Colwellia sp.,cov
Elizabethkingia sp.,elz
Listeria monocytogenes,lmod
Mycoplasma putrefaciens,mpf
Arthrospira platensis,arp
Anatilimnocola aggregata,aagg
Francisella cf.,fcf
Ottowia oryzae,otk
Pectobacterium parmentieri,pec
Halocella sp.,hals
Sulfurovum indicum,sinu
Methylovirgula ligni,mlg
Paenibacillus psychroresistens,ppsc
Collinsella stercoris,cstc
Streptococcus porcinus,spoc
Wolbachia endosymbiont,wey
Shewanella loihica,slo
Kurthia sp.,kur
Thermotoga maritima,tmm
Ferribacterium limneticum,fle
Chlamydia pecorum,cpec
Porphyromonas crevioricanis,pcre
Capnocytophaga ochracea,coc
Staphylococcus equorum,seqo
Polymorphospora rubra,pry
Protaetiibacter intestinalis,lyd
Caldimicrobium thiodismutans,cthi
Idiomarina piscisalsi,ipi
Thermosipho africanus,taf
Halarcobacter bivalviorum,hbv
Pseudomonas viridiflava,pvd
Chryseobacterium taklimakanense,ctak
MAG: Candidatus,nli
Streptococcus suis,suo
Streptococcus koreensis,ski
Nitrogeniibacter mangrovi,azq
Methylacidiphilum kamchatkense,mkc
Cyanobium sp.,cyi
Streptomyces lydicus,sld
Mannheimia haemolytica,mhat
Arthrobacter sp.,artp
Neisseria zoodegmatis,nzo
Polynucleobacter paneuropaeus,poh
Brevundimonas naejangsanensis,bne
Denitrobacterium detoxificans,ddt
Wolinella succinogenes,wsu
Mycobacterium tuberculosis,mtg
Malaciobacter marinus,amar
Actinoplanes friuliensis,afs
Marinobacter salinus,msq
Hydrogenovibrio thermophilus,htr
Streptococcus thermophilus,stc
Bacillus mojavensis,bmoj
Neisseria canis,nci
Streptomyces mobaraensis,smob
Veillonella dispar,vdn
Geobacter sp.,gef
Chlamydia trachomatis,ctg
Bernardetia litoralis,fli
Acidiferrobacter thiooxydans,aty
Stigmatella aurantiaca,sur
Ruminiclostridium cellulolyticum,cce
Fannyhessea vaginae,fvg
Capnocytophaga sp.,capq
Chloroherpeton thalassium,cts
Dyadobacter fermentans,dfe
Mycobacterium mantenii,mman
Comamonas testosteroni,ctes
Owenweeksia hongkongensis,oho
Clostridium botulinum,cbh
Pseudomonas aeruginosa,paem
Streptococcus pyogenes,spyo
Lactiplantibacillus paraplantarum,lpx
Cellulomonas sp.,cej
Kaustia mangrovi,kmn
Mycobacterium bovis,mbt
Methyloradius palustris,mpau
Brenneria izadpanahii,biz
Thermoanaerobacter kivui,tki
Corynebacterium frankenforstense,cfk
Mycoplasma miroungigenitalium,mmir
Duganella sp.,dug
Corynebacterium argentoratense,caz
Campylobacter jejuni,cjz
Brachybacterium vulturis,brz
Parabacteroides johnsonii,pjo
Pseudomonas protegens,pfl
Spirosoma pollinicola,spir
Mycobacterium goodii,mgo
Gibbsiella quercinecans,gqu
Azotobacter vinelandii,avd
Buchnera aphidicola,baj
Hyphomonadaceae bacterium,hbc
Mycobacterium spongiae,mspg
Streptococcus mutans,smu
Celerinatantimonas diazotrophica,cdiz
Alteromonas macleodii,amg
Erysipelatoclostridium ramosum,erm
Psychrobacter sp.,psya
Bacillus amyloliquefaciens,bamn
Pseudodesulfovibrio mercurii,ddn
Bacillus sp.,bacp
Endosymbiont of,eop
Candidatus Pseudomonas,pade
Granulicella sp.,grw
Microbacterium foliorum,mfol
Cutibacterium granulosum,cgrn
Planococcus faecalis,pfae
Streptococcus parauberis,stk
Actinomyces howellii,ahw
Desulfobulbus oralis,deo
Erythrobacter sp.,erk
Mycoavidus cysteinexigens,mcys
Erysipelotrichaceae bacterium,ebm
Candidatus Profftia,plar
Paenibacillus mucilaginosus,pmq
Photorhabdus temperata,ptt
Campylobacter mucosalis,cmuc
Campylobacter lari,clm
Propionibacterium acnes,pac
Victivallales bacterium,vbc
Brevibacillus brevis,bbe
Glaciimonas sp.,glc
Francisella sp.,frf
Streptococcus dysgalactiae,sdq
Enterobacter lignolyticus,esc
Ruminococcus bovis,ruj
Lentilactobacillus curieae,lcu
Streptococcus parasanguinis,scf
Eubacterium rectale,era
Dysosmobacter welbionis,obj
Geitlerinema sp.,gei
Mycobacterium avium,mao
Desulfuromonas soudanensis,des
Lysobacter antibioticus,lab
Odoribacter splanchnicus,osp
Listeria grayi,lgz
Staphylococcus simiae,ssim
Flavobacterium fluviale,ffl
Aerococcus urinae,aun
Hyphomicrobium denitrificans,hdn
Hydrogenophaga crassostreae,hyl
Enterobacteriaceae bacterium,ged
Solimonas sp.,sok
Pseudomonas aeruginosa,pau
Clostridium drakei,cdrk
Sphaerochaeta globosa,sbu
Tessaracoccus lapidicaptus,tla
Achromobacter sp.,achr
Anaplasma phagocytophilum,apha
Terrihabitans soli,tso
Wolbachia endosymbiont,wed
Virgibacillus dokdonensis,vpn
Lactobacillus fermentum,lff
Paracoccus mutanolyticus,pmut
Amphritea japonica,ajp
Thermodesulfobacterium sp.,thet
Mycoplasma glycophilum,mgly
Caldisericum exile,cex
Agromyces aureus,agy
Dehalobacter sp.,ded
Bartonella sp.,barr
Corynebacterium pseudotuberculosis,cpse
Xenorhabdus budapestensis,xbu
Rhodoplanes sp.,rhz
Dehalococcoides sp.,deh
Bacillus mobilis,bmob
Shewanella piezotolerans,swp
Clostridium cellulovorans,ccb
Chlamydophila pneumoniae,cpa
Aggregatimonas sangjinii,asag
Staphylococcus schleiferi,sscz
Pseudomonas toyotomiensis,pty
Cognaticolwellia beringensis,cber
Staphylococcus haemolyticus,shh
Thermoclostridium stercorarium,csd
Streptomyces gilvosporeus,sgv
Breznakiella homolactica,bhc
Parachlamydia acanthamoebae,puv
Gramella fulva,grs
Mycolicibacterium chitae,mcht
Thiopseudomonas alkaliphila,pbb
Actinoalloteichus fjordicus,acad
Planococcus plakortidis,ppla
Heliorestis convoluta,hcv
Zobellia galactanivorans,zga
Desulfomicrobium orale,doa
Youhaiella tibetensis,yti
Halomonas sulfidoxydans,hsx
